modis_date,calendar_date,band,value_center,value_min,value_max,value_sum,value_range,value_mean,value_variance,value_stddev,pixels_total,pixels_pass,pixels_pass_rel,proc_date
A2010273,2010-09-30,250m_16_days_NDVI,0.4202,0.166,0.951,598.4967,0.785,0.5537,0.0179,0.1336,1089,1081,99.27,2015211141252
A2010289,2010-10-16,250m_16_days_NDVI,0.4798,0.0077,0.8921,454.3534,0.8844,0.4955,0.0213,0.146,1089,917,84.21,2015211225635
A2010305,2010-11-01,250m_16_days_NDVI,0.4394,0.1216,0.9718,434.0027,0.8502,0.4642,0.0198,0.1407,1089,935,85.86,2015213071803
A2010321,2010-11-17,250m_16_days_NDVI,0.3906,0.1164,0.8316,516.9753,0.7152,0.4765,0.026,0.1612,1089,1085,99.63,2015213084013
A2010337,2010-12-03,250m_16_days_NDVI,0.3894,0.149,0.781,394.4679,0.632,0.456,0.0175,0.1321,1089,865,79.43,2015213170113
A2010353,2010-12-19,250m_16_days_NDVI,0.3427,0.1447,0.7866,480.0561,0.6419,0.462,0.0206,0.1434,1089,1039,95.41,2015216035107
A2011001,2011-01-01,250m_16_days_NDVI,0.4819,0.0705,0.9947,331.4783,0.9242,0.5171,0.0167,0.1293,1089,641,58.86,2015216114642
A2011017,2011-01-17,250m_16_days_NDVI,0.3459,0.0827,0.9774,367.5302,0.8947,0.5098,0.0243,0.1558,1089,721,66.21,2015216145550
A2011033,2011-02-02,250m_16_days_NDVI,0.5555,0.0825,0.9659,601.6337,0.8834,0.6028,0.0192,0.1387,1089,998,91.64,2015216130929
A2011049,2011-02-18,250m_16_days_NDVI,0.6144,0.2335,0.9245,632.1295,0.691,0.5958,0.0177,0.1331,1089,1061,97.43,2015216132638
A2011065,2011-03-06,250m_16_days_NDVI,0.4973,0.2126,0.8939,391.8311,0.6813,0.5245,0.0137,0.117,1089,747,68.6,2015217063922
A2011081,2011-03-22,250m_16_days_NDVI,0.5182,0.21,0.9823,647.4863,0.7723,0.6131,0.0218,0.1476,1089,1056,96.97,2015217154857
A2011097,2011-04-07,250m_16_days_NDVI,0.5304,0.154,0.9718,659.9214,0.8178,0.6267,0.0235,0.1534,1089,1053,96.69,2015218081929
A2011113,2011-04-23,250m_16_days_NDVI,0.5223,0.234,0.89,671.2142,0.656,0.6198,0.0233,0.1527,1089,1083,99.45,2015218103452
A2011129,2011-05-09,250m_16_days_NDVI,0.553,0.2488,0.9622,678.9857,0.7134,0.6269,0.0196,0.1399,1089,1083,99.45,2015219101949
A2011145,2011-05-25,250m_16_days_NDVI,0.5131,0.2311,0.884,673.213,0.6529,0.6182,0.0211,0.1451,1089,1089,100,2015219135106
A2011161,2011-06-10,250m_16_days_NDVI,0.5394,0.1834,0.92,672.83,0.7366,0.6213,0.0206,0.1435,1089,1083,99.45,2015219192120
A2011177,2011-06-26,250m_16_days_NDVI,0.491,0.2443,0.9727,689.3596,0.7284,0.633,0.0174,0.1318,1089,1089,100,2015220075216
A2011193,2011-07-12,250m_16_days_NDVI,0.5072,0.2861,0.9396,660.1533,0.6535,0.609,0.0185,0.1362,1089,1084,99.54,2015220124945
A2011209,2011-07-28,250m_16_days_NDVI,0.5198,0.2326,0.9256,658.7129,0.693,0.6077,0.0217,0.1471,1089,1084,99.54,2015221074819
A2011225,2011-08-13,250m_16_days_NDVI,0.3958,0.2428,0.8911,627.6599,0.6483,0.5764,0.0192,0.1386,1089,1089,100,2015221114625
A2011241,2011-08-29,250m_16_days_NDVI,0.3777,0.1807,0.8366,584.954,0.6559,0.5431,0.0199,0.1411,1089,1077,98.9,2015221213557
A2011257,2011-09-14,250m_16_days_NDVI,0.4668,0.2079,0.8194,586.0572,0.6115,0.5382,0.0206,0.1435,1089,1089,100,2015222085832
A2011273,2011-09-30,250m_16_days_NDVI,0.4516,0.097,0.8122,401.2314,0.7152,0.4887,0.0137,0.1171,1089,821,75.39,2015222121914
A2011289,2011-10-16,250m_16_days_NDVI,0.4163,0.1859,0.8785,574.0627,0.6926,0.5271,0.019,0.1377,1089,1089,100,2015229094433
A2011305,2011-11-01,250m_16_days_NDVI,0.34,0.147,0.8746,479.5885,0.7276,0.4679,0.018,0.1341,1089,1025,94.12,2015229102317
A2011321,2011-11-17,250m_16_days_NDVI,0.4265,0.0894,0.835,417.468,0.7456,0.4771,0.012,0.1095,1089,875,80.35,2015229115845
A2011337,2011-12-03,250m_16_days_NDVI,0.4746,0.1707,0.8167,400.651,0.646,0.4764,0.011,0.1051,1089,841,77.23,2015229235617
A2011353,2011-12-19,250m_16_days_NDVI,0.4233,0.1068,0.895,495.6606,0.7882,0.4952,0.0196,0.1399,1089,1001,91.92,2015230013003
A2012001,2012-01-01,250m_16_days_NDVI,0.4335,0.2327,0.8328,553.5944,0.6001,0.514,0.0178,0.1335,1089,1077,98.9,2015236170942
A2012017,2012-01-17,250m_16_days_NDVI,0.4127,0.1736,0.8979,586.4877,0.7243,0.5386,0.0192,0.1387,1089,1089,100,2015237084447
A2012033,2012-02-02,250m_16_days_NDVI,0.4098,0.1502,0.9882,327.0331,0.838,0.53,0.0173,0.1315,1089,617,56.66,2015237195324
A2012049,2012-02-18,250m_16_days_NDVI,0.5087,0.1128,0.8604,565.2034,0.7476,0.5738,0.0165,0.1284,1089,985,90.45,2015238131730
A2012065,2012-03-05,250m_16_days_NDVI,0.414,0.1066,0.8782,546.9304,0.7716,0.6294,0.025,0.1582,1089,869,79.8,2015238152646
A2012081,2012-03-21,250m_16_days_NDVI,0.5115,0.1268,0.9987,524.5192,0.8719,0.5887,0.0167,0.1292,1089,891,81.82,2015239230052
A2012097,2012-04-06,250m_16_days_NDVI,0.5606,0.2373,0.9911,633.3912,0.7538,0.6328,0.0155,0.1245,1089,1001,91.92,2015240114703
A2012113,2012-04-22,250m_16_days_NDVI,0.5715,0.2886,0.9058,713.2368,0.6172,0.6574,0.0141,0.1187,1089,1085,99.63,2015240190051
A2012129,2012-05-08,250m_16_days_NDVI,0.5492,0.2272,0.8923,692.4081,0.6651,0.637,0.0188,0.137,1089,1087,99.82,2015246095705
A2012145,2012-05-24,250m_16_days_NDVI,0.554,0.3045,0.9411,706.4,0.6366,0.6499,0.0178,0.1335,1089,1087,99.82,2015246100120
A2012161,2012-06-09,250m_16_days_NDVI,0.4942,0.264,0.9726,677.5107,0.7086,0.6221,0.0171,0.1306,1089,1089,100,2015247051309
A2012177,2012-06-25,250m_16_days_NDVI,0.4945,0.2501,0.9844,658.5912,0.7343,0.6048,0.0184,0.1356,1089,1089,100,2015247080719
A2012193,2012-07-11,250m_16_days_NDVI,0.4778,0.2376,0.9804,639.5291,0.7428,0.5938,0.0192,0.1386,1089,1077,98.9,2015247170955
A2012209,2012-07-27,250m_16_days_NDVI,0.4759,0.2238,0.8765,624.9153,0.6527,0.5738,0.0203,0.1424,1089,1089,100,2015248105705
A2012225,2012-08-12,250m_16_days_NDVI,0.4449,0.2054,0.9824,593.3923,0.777,0.553,0.0201,0.1418,1089,1073,98.53,2015248124316
A2012241,2012-08-28,250m_16_days_NDVI,0.4681,0.1848,0.8463,599.3991,0.6615,0.5504,0.0203,0.1424,1089,1089,100,2015249122637
A2012257,2012-09-13,250m_16_days_NDVI,0.4355,0.0673,0.9909,437.3943,0.9236,0.492,0.0167,0.1293,1089,889,81.63,2015249151927
A2012273,2012-09-29,250m_16_days_NDVI,0.3774,0.1785,0.8731,549.082,0.6946,0.5117,0.021,0.1448,1089,1073,98.53,2015249215727
A2012289,2012-10-15,250m_16_days_NDVI,0.4232,0.2065,0.8208,557.4313,0.6143,0.5119,0.0201,0.1416,1089,1089,100,2015251160742
A2012305,2012-10-31,250m_16_days_NDVI,0.3886,0.1906,0.8147,542.8218,0.6241,0.504,0.0195,0.1395,1089,1077,98.9,2015251162122
A2012321,2012-11-16,250m_16_days_NDVI,F,0.1829,0.9135,395.9343,0.7306,0.5196,0.0196,0.1398,1089,762,69.97,2015252200236
A2012337,2012-12-02,250m_16_days_NDVI,F,0.0997,0.9333,337.9122,0.8336,0.482,0.0167,0.1293,1089,701,64.37,2015252232722
A2012353,2012-12-18,250m_16_days_NDVI,0.3395,0.1698,0.9798,441.2018,0.81,0.4649,0.0139,0.1179,1089,949,87.14,2015253232416
A2013001,2013-01-01,250m_16_days_NDVI,0.3954,0.1448,0.9938,539.1902,0.849,0.5599,0.0198,0.1406,1089,963,88.43,2015254155028
A2013017,2013-01-17,250m_16_days_NDVI,F,0.2487,0.8547,498.1959,0.606,0.5542,0.0146,0.1207,1089,899,82.55,2015254142830
A2013033,2013-02-02,250m_16_days_NDVI,0.4623,0.2927,0.9322,566.603,0.6395,0.5672,0.0138,0.1173,1089,999,91.74,2015256064528
A2013049,2013-02-18,250m_16_days_NDVI,0.5761,0.2331,0.8324,658.5867,0.5993,0.6048,0.0155,0.1243,1089,1089,100,2015256173746
A2013065,2013-03-06,250m_16_days_NDVI,0.711,0.2588,0.9601,550.6133,0.7013,0.594,0.0156,0.1249,1089,927,85.12,2015256175429
A2013081,2013-03-22,250m_16_days_NDVI,0.5533,0.2292,0.9134,653.1939,0.6842,0.636,0.0187,0.1366,1089,1027,94.31,2015257073237
A2013097,2013-04-07,250m_16_days_NDVI,0.6101,0.2515,0.9235,709.8537,0.672,0.6524,0.0185,0.1361,1089,1088,99.91,2015257100533
A2013113,2013-04-23,250m_16_days_NDVI,0.4536,0.3258,0.9404,696.6949,0.6146,0.6409,0.0137,0.1172,1089,1087,99.82,2015260121237
A2013129,2013-05-09,250m_16_days_NDVI,0.5299,0.2651,0.8791,684.582,0.614,0.6286,0.0189,0.1373,1089,1089,100,2015260162158
A2013145,2013-05-25,250m_16_days_NDVI,0.5072,0.1208,0.9137,678.5355,0.7929,0.6432,0.0183,0.1352,1089,1055,96.88,2015261183508
A2013161,2013-06-10,250m_16_days_NDVI,0.5337,0.267,0.9705,677.696,0.7035,0.6252,0.0174,0.132,1089,1084,99.54,2015262164045
A2013177,2013-06-26,250m_16_days_NDVI,0.5107,0.2393,0.9494,640.4959,0.7101,0.5882,0.0178,0.1333,1089,1089,100,2015262163531
A2013193,2013-07-12,250m_16_days_NDVI,0.4817,0.2601,0.8579,636.7592,0.5978,0.588,0.0192,0.1384,1089,1083,99.45,2015264061728
A2013209,2013-07-28,250m_16_days_NDVI,0.4747,0.2089,0.855,626.8266,0.6461,0.5809,0.0198,0.1407,1089,1079,99.08,2015267154714
A2013225,2013-08-13,250m_16_days_NDVI,0.4512,0.2039,0.8407,594.4842,0.6368,0.5484,0.0202,0.1422,1089,1084,99.54,2015267214324
A2013241,2013-08-29,250m_16_days_NDVI,0.4161,0.2003,0.8668,568.9424,0.6665,0.5224,0.0201,0.1419,1089,1089,100,2015268074210
A2013257,2013-09-14,250m_16_days_NDVI,0.4137,0.2051,0.7839,536.0585,0.5788,0.4922,0.0174,0.1318,1089,1089,100,2015268074625
A2013273,2013-09-30,250m_16_days_NDVI,0.3609,0.1862,0.9145,458.7929,0.7283,0.4865,0.019,0.138,1089,943,86.59,2015269185710
A2013289,2013-10-16,250m_16_days_NDVI,0.4693,0.1373,0.9264,449.6457,0.7891,0.4546,0.014,0.1184,1089,989,90.82,2015269222215
A2013305,2013-11-01,250m_16_days_NDVI,0.3803,0.139,0.8525,455.3148,0.7135,0.4773,0.0134,0.1157,1089,954,87.6,2015270183745
A2013321,2013-11-17,250m_16_days_NDVI,0.4487,0.2118,0.8633,500.4446,0.6515,0.5364,0.0162,0.1274,1089,933,85.67,2015271095953
A2013337,2013-12-03,250m_16_days_NDVI,0.4549,0.1651,0.8893,553.3942,0.7242,0.5699,0.0144,0.1201,1089,971,89.16,2015271131438
A2013353,2013-12-19,250m_16_days_NDVI,F,0.1795,0.9904,480.7639,0.8109,0.5432,0.0216,0.147,1089,885,81.27,2015272025035
A2014001,2014-01-01,250m_16_days_NDVI,0.4786,0.2374,0.8332,608.7433,0.5958,0.559,0.0119,0.1091,1089,1089,100,2015272061423
A2014017,2014-01-17,250m_16_days_NDVI,0.4037,0.1898,0.7669,551.6077,0.5771,0.5103,0.0144,0.1201,1089,1081,99.27,2015273225915
A2014033,2014-02-02,250m_16_days_NDVI,0.4024,0.2389,0.9366,597.9215,0.6977,0.5902,0.0183,0.1352,1089,1013,93.02,2015274230645
A2014049,2014-02-18,250m_16_days_NDVI,0.5815,0.2211,0.9468,622.5261,0.7257,0.6385,0.0199,0.1411,1089,975,89.53,2015274230512
A2014065,2014-03-06,250m_16_days_NDVI,0.5215,0.233,0.9746,642.5814,0.7416,0.6394,0.0151,0.1231,1089,1005,92.29,2015276174353
A2014081,2014-03-22,250m_16_days_NDVI,0.5474,0.2562,0.8793,698.3904,0.6231,0.6413,0.0179,0.1339,1089,1089,100,2015276220039
A2014097,2014-04-07,250m_16_days_NDVI,0.5381,0.2644,0.9247,688.8884,0.6603,0.6326,0.0151,0.1229,1089,1089,100,2015278233452
A2014113,2014-04-23,250m_16_days_NDVI,0.5864,0.2783,0.9906,717.2036,0.7123,0.6616,0.0164,0.1282,1089,1084,99.54,2015281100803
A2014129,2014-05-09,250m_16_days_NDVI,0.5489,0.2954,0.9195,706.0807,0.6241,0.6484,0.0154,0.1241,1089,1089,100,2015281104323
A2014145,2014-05-25,250m_16_days_NDVI,0.5996,0.2603,0.9279,696.9841,0.6676,0.64,0.0149,0.1223,1089,1089,100,2015287232801
A2014161,2014-06-10,250m_16_days_NDVI,0.5304,0.2498,0.8661,666.2106,0.6163,0.6118,0.0183,0.1352,1089,1089,100,2015288071205
A2014177,2014-06-26,250m_16_days_NDVI,0.493,0.2563,0.8995,644.1397,0.6432,0.5915,0.016,0.1264,1089,1089,100,2015288072921
A2014193,2014-07-12,250m_16_days_NDVI,0.4989,0.2533,0.953,628.4401,0.6997,0.5771,0.0174,0.1321,1089,1089,100,2015289002843
A2014209,2014-07-28,250m_16_days_NDVI,0.4564,0.1612,0.8143,614.765,0.6531,0.5645,0.0154,0.124,1089,1089,100,2015289031634
A2014225,2014-08-13,250m_16_days_NDVI,0.4796,0.2386,0.8449,612.1537,0.6063,0.5621,0.0151,0.1229,1089,1089,100,2015289154959
A2014241,2014-08-29,250m_16_days_NDVI,0.4418,0.2078,0.8406,597.728,0.6328,0.5489,0.0185,0.1361,1089,1089,100,2015289183937
A2014257,2014-09-14,250m_16_days_NDVI,0.3897,0.1793,0.8234,573.7762,0.6441,0.5269,0.0177,0.133,1089,1089,100,2015291062615
A2014273,2014-09-30,250m_16_days_NDVI,0.4257,0.1794,0.8129,500.6387,0.6335,0.5083,0.0144,0.12,1089,985,90.45,2015291111630
A2014289,2014-10-16,250m_16_days_NDVI,0.4213,0.1901,0.8045,563.8044,0.6144,0.5177,0.0168,0.1294,1089,1089,100,2015291184112
A2014305,2014-11-01,250m_16_days_NDVI,0.3993,0.1877,0.9207,435.6346,0.733,0.4689,0.0109,0.1044,1089,929,85.31,2015292061231
A2014321,2014-11-17,250m_16_days_NDVI,0.4687,0.0929,0.8439,591.0555,0.751,0.5448,0.0201,0.1419,1089,1085,99.63,2015292070821
A2014337,2014-12-03,250m_16_days_NDVI,0.3975,0.0802,0.9169,373.3383,0.8367,0.4774,0.014,0.1184,1089,782,71.81,2015294144234
A2014353,2014-12-19,250m_16_days_NDVI,F,0.2586,0.7628,35.1934,0.5042,0.5175,0.0124,0.1113,1089,68,6.24,2015295002442
A2015001,2015-01-01,250m_16_days_NDVI,F,0.1342,0.9589,118.9322,0.8247,0.6758,0.0342,0.185,1089,176,16.16,2015295100740
A2015017,2015-01-17,250m_16_days_NDVI,0.5266,0.2302,0.9322,674.1722,0.702,0.6237,0.0152,0.1233,1089,1081,99.27,2015295115705
A2015033,2015-02-02,250m_16_days_NDVI,F,0.1167,0.8571,311.3205,0.7404,0.6264,0.0208,0.1444,1089,497,45.64,2015296122838
A2015049,2015-02-18,250m_16_days_NDVI,0.5314,0.1946,0.8478,664.9669,0.6532,0.6106,0.0158,0.1257,1089,1089,100,2015297001625
A2015065,2015-03-06,250m_16_days_NDVI,0.6402,0.2719,0.9883,737.6411,0.7164,0.7141,0.0179,0.1337,1089,1033,94.86,2015298001326
A2015081,2015-03-22,250m_16_days_NDVI,0.5607,0.2314,0.9751,700.3177,0.7437,0.6431,0.0162,0.1274,1089,1089,100,2015298180027
A2015097,2015-04-07,250m_16_days_NDVI,0.567,0.2571,0.9391,629.0577,0.682,0.6361,0.0162,0.1273,1089,989,90.82,2015299004020
A2015113,2015-04-23,250m_16_days_NDVI,0.5463,0.2287,0.9824,698.7466,0.7537,0.6428,0.018,0.1341,1089,1087,99.82,2015299023915
A2015129,2015-05-09,250m_16_days_NDVI,0.5748,0.292,0.9863,730.3602,0.6943,0.6707,0.0147,0.1214,1089,1089,100,2015299152035
A2015145,2015-05-25,250m_16_days_NDVI,0.5785,0.2831,0.9909,730.7636,0.7078,0.6754,0.0187,0.1368,1089,1082,99.36,2015300234207
A2015161,2015-06-10,250m_16_days_NDVI,0.5819,0.172,0.9202,743.2298,0.7482,0.6825,0.0115,0.1072,1089,1089,100,2015301071925
A2015177,2015-06-26,250m_16_days_NDVI,0.5797,0.2737,0.9279,716.9539,0.6542,0.662,0.016,0.1265,1089,1083,99.45,2015301215240
A2015193,2015-07-12,250m_16_days_NDVI,0.5321,0.3102,0.981,700.4094,0.6708,0.6449,0.0153,0.1237,1089,1086,99.72,2015304005836
A2015209,2015-07-28,250m_16_days_NDVI,0.5057,0.2544,0.9763,702.8282,0.7219,0.6454,0.0139,0.1178,1089,1089,100,2015304030257
A2015225,2015-08-13,250m_16_days_NDVI,0.5288,0.2503,0.9662,659.1044,0.7159,0.6052,0.0162,0.1271,1089,1089,100,2015305204310
A2015241,2015-08-29,250m_16_days_NDVI,0.4582,0.2458,0.8594,635.5829,0.6136,0.5836,0.017,0.1305,1089,1089,100,2015305211605
A2015257,2015-09-14,250m_16_days_NDVI,0.4528,0.1939,0.8356,620.4155,0.6417,0.5697,0.0158,0.1256,1089,1089,100,2015306145312
A2015273,2015-09-30,250m_16_days_NDVI,0.4791,0.2274,0.9027,544.3876,0.6753,0.546,0.0148,0.1215,1089,997,91.55,2015307053831
A2015289,2015-10-16,250m_16_days_NDVI,0.2814,0.0967,0.9904,455.2336,0.8937,0.5565,0.0175,0.1324,1089,818,75.11,2015317210002
A2015305,2015-11-01,250m_16_days_NDVI,0.4665,0.2168,0.9894,623.1461,0.7726,0.5722,0.016,0.1265,1089,1089,100,2015335131548
A2015321,2015-11-17,250m_16_days_NDVI,0.4786,0.1855,0.9298,527.6477,0.7443,0.5479,0.0119,0.1092,1089,963,88.43,2015343135335
A2015337,2015-12-03,250m_16_days_NDVI,F,0.1,0.9457,282.845,0.8457,0.5546,0.0264,0.1625,1089,510,46.83,2016004171629
A2015353,2015-12-19,250m_16_days_NDVI,F,0.2022,0.9852,498.7575,0.783,0.7015,0.0194,0.1391,1089,711,65.29,2016007181302
A2016001,2016-01-01,250m_16_days_NDVI,0.5907,0.2039,0.9641,660.6002,0.7602,0.6432,0.0235,0.1532,1089,1027,94.31,2016029065636
A2016017,2016-01-17,250m_16_days_NDVI,F,0.0691,0.9612,359.9702,0.8921,0.606,0.0279,0.1671,1089,594,54.55,2016035114615
A2016033,2016-02-02,250m_16_days_NDVI,F,0.1842,0.974,454.7068,0.7898,0.6716,0.0225,0.1501,1089,677,62.17,2016050022857
A2016049,2016-02-18,250m_16_days_NDVI,0.1507,0.075,0.9335,212.9063,0.8585,0.6612,0.022,0.1484,1089,322,29.57,2016109133606
A2016065,2016-03-05,250m_16_days_NDVI,0.5366,0.2098,0.906,645.9264,0.6962,0.6376,0.0155,0.1244,1089,1013,93.02,2016111112648
A2016081,2016-03-21,250m_16_days_NDVI,0.6446,0.3034,0.922,740.8322,0.6186,0.6809,0.0151,0.1228,1089,1088,99.91,2017097232430
A2016097,2016-04-06,250m_16_days_NDVI,0.6226,0.3122,0.9193,744.2373,0.6071,0.6891,0.0144,0.1198,1089,1080,99.17,2016114035940
A2016113,2016-04-22,250m_16_days_NDVI,0.5499,0.2448,0.9974,688.5997,0.7526,0.643,0.0177,0.133,1089,1071,98.35,2016130115245
A2016129,2016-05-08,250m_16_days_NDVI,0.553,0.273,0.9935,711.7101,0.7205,0.6535,0.0147,0.1213,1089,1089,100,2016147112819
A2016145,2016-05-24,250m_16_days_NDVI,0.5244,0.2572,0.979,690.3875,0.7218,0.634,0.0165,0.1285,1089,1089,100,2016166144711
A2016161,2016-06-09,250m_16_days_NDVI,0.5229,0.2625,0.9605,676.0038,0.698,0.6208,0.0164,0.1279,1089,1089,100,2016184011418
A2016177,2016-06-25,250m_16_days_NDVI,0.5511,0.2959,0.8491,659.2797,0.5532,0.6054,0.0135,0.1161,1089,1089,100,2016200100234
A2016193,2016-07-11,250m_16_days_NDVI,0.576,0.3298,0.94,690.9265,0.6102,0.635,0.0158,0.1258,1089,1088,99.91,2016215085002
A2016209,2016-07-27,250m_16_days_NDVI,0.4766,0.2379,0.8779,632.1876,0.64,0.5827,0.0171,0.1308,1089,1085,99.63,2016229083152
A2016225,2016-08-12,250m_16_days_NDVI,0.4383,0.1968,0.9275,607.8189,0.7307,0.5691,0.0184,0.1358,1089,1068,98.07,2016243085053
A2016241,2016-08-28,250m_16_days_NDVI,0.4418,0.1634,0.9831,566.0231,0.8197,0.5355,0.0165,0.1286,1089,1057,97.06,2016263150704
A2016257,2016-09-13,250m_16_days_NDVI,0.3945,0.1875,0.7844,506.157,0.5969,0.5016,0.0132,0.1149,1089,1009,92.65,2016274145941
A2016273,2016-09-29,250m_16_days_NDVI,0.3844,0.177,0.8714,555.8464,0.6944,0.5104,0.0153,0.1239,1089,1089,100,2016292070740
A2016289,2016-10-15,250m_16_days_NDVI,0.4054,0.2048,0.8812,534.9629,0.6764,0.508,0.0129,0.1135,1089,1053,96.69,2016306042019
A2016305,2016-10-31,250m_16_days_NDVI,0.3757,0.169,0.8423,531.0082,0.6733,0.4894,0.0159,0.1262,1089,1085,99.63,2016322045124
A2016321,2016-11-16,250m_16_days_NDVI,0.4333,0.0884,0.9581,426.0635,0.8697,0.5066,0.0192,0.1385,1089,841,77.23,2016340093511
A2016337,2016-12-02,250m_16_days_NDVI,0.1468,0.0689,0.9505,180.5133,0.8816,0.4905,0.0248,0.1576,1089,368,33.79,2016357045105
A2016353,2016-12-18,250m_16_days_NDVI,0.4453,0.1436,0.8773,419.5905,0.7337,0.5251,0.0161,0.127,1089,799,73.37,2017010091212
A2017001,2017-01-01,250m_16_days_NDVI,0.3956,0.062,0.8672,423.0415,0.8052,0.5153,0.0152,0.1235,1089,821,75.39,2017020214016
A2017017,2017-01-17,250m_16_days_NDVI,0.5852,0.0671,0.9812,409.2292,0.9141,0.6238,0.0205,0.1432,1089,656,60.24,2017034073704
A2017033,2017-02-02,250m_16_days_NDVI,0.513,0.2429,0.9263,528.6473,0.6834,0.592,0.0169,0.1299,1089,893,82,2017053061954
A2017049,2017-02-18,250m_16_days_NDVI,0.5737,0.2572,0.9236,707.2339,0.6664,0.6494,0.0183,0.1351,1089,1089,100,2017066031253
A2017065,2017-03-06,250m_16_days_NDVI,0.7102,0.1058,0.9917,293.58,0.8859,0.6568,0.0248,0.1574,1089,447,41.05,2017082122245
A2017081,2017-03-22,250m_16_days_NDVI,0.6446,0.3034,0.922,740.8322,0.6186,0.6809,0.0151,0.1228,1089,1088,99.91,2017111085037
A2017097,2017-04-07,250m_16_days_NDVI,0.5836,0.2898,0.9553,691.5372,0.6655,0.6475,0.0154,0.1242,1089,1068,98.07,2017116140204
A2017113,2017-04-23,250m_16_days_NDVI,0.8452,0.0641,0.9455,480.2781,0.8814,0.719,0.0193,0.1391,1089,668,61.34,2017131092535
A2017129,2017-05-09,250m_16_days_NDVI,0.4485,0.2554,0.9854,734.7981,0.73,0.6772,0.0165,0.1286,1089,1085,99.63,2017145231136
A2017145,2017-05-25,250m_16_days_NDVI,0.5808,0.2942,0.933,723.2489,0.6388,0.6672,0.0147,0.1214,1089,1084,99.54,2017164072133
A2017161,2017-06-10,250m_16_days_NDVI,0.5692,0.2667,0.9913,712.7825,0.7246,0.6563,0.017,0.1303,1089,1086,99.72,2017178080752
A2017177,2017-06-26,250m_16_days_NDVI,0.6131,0.2886,0.988,708.8409,0.6994,0.6533,0.0171,0.1308,1089,1085,99.63,2017194070713
A2017193,2017-07-12,250m_16_days_NDVI,0.5255,0.2184,0.9354,681.1927,0.717,0.6272,0.0164,0.1282,1089,1086,99.72,2017209235126
A2017209,2017-07-28,250m_16_days_NDVI,0.518,0.2394,0.9766,672.1785,0.7372,0.6195,0.0144,0.1199,1089,1085,99.63,2017234111626
A2017225,2017-08-13,250m_16_days_NDVI,0.5224,0.2315,0.9343,417.8321,0.7028,0.586,0.0171,0.1307,1089,713,65.47,2017250141631
A2017241,2017-08-29,250m_16_days_NDVI,0.44,0.2325,0.9182,622.7288,0.6857,0.5782,0.0177,0.1331,1089,1077,98.9,2017262090716
A2017257,2017-09-14,250m_16_days_NDVI,0.42,0.2167,0.8523,593.8112,0.6356,0.5503,0.0165,0.1286,1089,1079,99.08,2017276133006
A2017273,2017-09-30,250m_16_days_NDVI,0.4283,0.2371,0.8177,600.5581,0.5806,0.5515,0.016,0.1266,1089,1089,100,2017290090347
A2017289,2017-10-16,250m_16_days_NDVI,0.4906,0.2344,0.8731,626.394,0.6387,0.5882,0.0165,0.1285,1089,1065,97.8,2017310141933
A2017305,2017-11-01,250m_16_days_NDVI,0.4505,0.253,0.8063,598.3172,0.5533,0.5576,0.0123,0.111,1089,1073,98.53,2017325113621
A2017321,2017-11-17,250m_16_days_NDVI,0.4939,0.1768,0.9925,472.8958,0.8157,0.5739,0.0155,0.1245,1089,824,75.67,2017337222050
A2017337,2017-12-03,250m_16_days_NDVI,F,0.0805,0.9843,363.1122,0.9038,0.5412,0.0222,0.149,1089,671,61.62,2017353223738
A2017353,2017-12-19,250m_16_days_NDVI,F,0.137,0.9938,351.5491,0.8568,0.6839,0.0144,0.1198,1089,514,47.2,2018004224430
A2018001,2018-01-01,250m_16_days_NDVI,0.7513,0.0852,0.9938,482.2703,0.9086,0.688,0.0133,0.1152,1089,701,64.37,2018017223921
A2018017,2018-01-17,250m_16_days_NDVI,0.4574,0.2292,0.9942,626.4285,0.765,0.5904,0.0148,0.1215,1089,1061,97.43,2018033224244
A2018033,2018-02-02,250m_16_days_NDVI,F,0.247,0.9493,689.2268,0.7023,0.6552,0.0179,0.1337,1089,1052,96.6,2018049222855
A2018049,2018-02-18,250m_16_days_NDVI,0.5294,0.1886,0.9988,480.2227,0.8102,0.6745,0.0157,0.1253,1089,712,65.38,2018066165317
A2018065,2018-03-06,250m_16_days_NDVI,0.5407,0.2181,0.9867,680.4531,0.7686,0.6389,0.0168,0.1296,1089,1065,97.8,2018082152325
A2018081,2018-03-22,250m_16_days_NDVI,0.545,0.1355,0.9854,448.8661,0.8499,0.6811,0.0183,0.1353,1089,659,60.51,2018097234445
A2018097,2018-04-07,250m_16_days_NDVI,0.6362,0.3098,0.9283,757.4327,0.6185,0.6955,0.0145,0.1206,1089,1089,100,2018113235248
A2018113,2018-04-23,250m_16_days_NDVI,0.6055,0.2781,0.9807,747.9634,0.7026,0.6868,0.0146,0.1209,1089,1089,100,2018130000341
A2018129,2018-05-09,250m_16_days_NDVI,0.5909,0.2604,0.9134,736.8347,0.653,0.6766,0.0141,0.1185,1089,1089,100,2018151110827
A2018145,2018-05-25,250m_16_days_NDVI,0.5851,0.3179,0.9264,744.5199,0.6085,0.6837,0.0113,0.1065,1089,1089,100,2018162002435
A2018161,2018-06-10,250m_16_days_NDVI,0.6081,0.3255,0.9487,746.0768,0.6232,0.6857,0.014,0.1185,1089,1088,99.91,2018177235451
